Mission Name,Hours
Vostok 1,1.77
Vostok 2,25
MA-6,5
STS-95,213
Mercury-Atlas 7,5
Vostok 3,94
Soyuz 9,424
Vostok 4,70.93
Soyuz 14,377
Mercury-Atlas 8,9.22
Gemini 6A,25.87
Apollo 7,260.13
Mercury-Atlas 9,34.32
Gemini 5,191.92
Vostok 5,119.13
Soyuz 22,189
Soyuz 31/29,188
Vostok 6,70.83
Voskhod 1,24.28
Soyuz 1,26.78
Voskhod 2,26.03
Soyuz 19,142
Gemini 3,4.86
Gemini 10,70.77
Apollo 10,192.05
Apollo 16,265.85
STS-1,54.5
STS-9,240
Gemini 4,97
Apollo 9,241
Gemini 11,71
Apollo 12,244
Skylab 2,673
Gemini 7,330.58
Apollo 8,147
Gemini 12,94
Apollo 13,142
Gemini 9A,72
ASTP,217
Gemini 8,11
Apollo 11,195
Apollo 15,312
Apollo 17,302
Salyut 7,4035
2,236
Soyuz 39,188.7
STS-7,146
STS-41-C,168
STS-41-G,197
Soyuz 40,188.7
STS-2,30
STS-51-I,170
STS-8,145.13
STS-3,192
STS-51-F,190
Mir Aragatz,594
STS-86,259.3
STS-4,169
STS-41-D,144
STS-61-A,168
Soyuz 3,94.83
Soyuz 4,71.33
Soyuz 8,118
Soyuz 10,47
Soyuz 5,72
Soyuz 21,1182
Soyuz 5/4,47
Soyuz 6,118
Soyuz 36/35,188
Soyuz 7,118
Soyuz 16,142
Soyuz 11,570
Soyuz 24,425
Soyuz 37/36,188
Skylab 3,1427.23
Soyuz 18,1511
Apollo 14,216
Soyuz 33,47
STS-151-C,73
Skylab-2,267
STS-6,120
Soyuz 12,47
Soyuz 27/26,142
Soyuz T­3,307
Skylab 4,2017
Soyuz 13,188
Saluyt 4,1511
Saluyt 6,190
Soyuz 15,48
Salyut 4,709
Salyut 6,190
STS-5,122.25
STS-41-B,191.25
STS-35,215
Soyuz T­2,94
Soyuz 23,48
Soyuz 25,48
STS­ 91,235
Soyuz 26/27,2314
Soyuz 38,188
Soyuz 28,190.28
Soyuz 30,190.03
Soyuz 31,188.82
3,212
1,3000
Soyuz T­8,48
7,3140
18,2768
5,3990
14,4721
STS-51-B,168
STS-51-A,191
STS-51-D,236
STS-51-J,98
STS-51F,191
STS-33,168
STS-44,167
STS-61,260
STS-80,424
STS­63,198
24,259
STS-26,97
STS-51-G,170
STS-51B,168
STS-30,97
STS-42,192
STS-32,261
STS-49,213
STS-39,199
STS-53,175
STS-51A,191
STS-61-B,165
STS-28,121
Spacelab 1,247.94
Atlas-1,214.37
Euromir 94,756.6
STS-61-C,146
STS-27,105
STS-47,190.5
STS-71,235.38
STS-51-L,0
STS-41 B,191.5
STS-51 J,97.7
STS-31,121
STS-41 C,167
STS-51I,171
STS-41C,168
STS-61C,146
STS-29,120
STS-41D,145
STS-36,106
STS-82,239
STS-93,118
STS-51D,168.15
STS-61B,165.16
STS-45,213.5
STS-77,240.67
STS-97,260
STS-69,44
STS-51-C,73.5
STS-46,191
STS 51-C,74
STS 51-L,0
STS-48,128.5
STS-51C,73.675
STS-34,119
STS-40,218
STS-58,336
STS-75,377
Spacelab-3,168.525
STS-51G,170
STS-61A,169
STS-37,143
STS-55,240
STS-43,213
22,4516
Spacelab-2,190.94
STS-38,118
4,3635
10,4202
STS-57,239
STS-50,331
STS-89,211
STS-61B Atlantis,165
STS-40 Columbia,218
STS-74,129
STS-88,283
STS-110,259
STS-60,199
STS-91,236
STS-111,333
STS-51L,0.61
11,3494
17,4061
8,4201
Soyuz TM­4/3,189
6,4297
12,4533
19,1811
15,10505
9,7484
STS­60,199
STS­88,283
STS-41,98
STS-52,237
STS-64,262
STS-73,360
STS-63,198
STS-102,307
STS-113,330
STS-62,335
STS-81,244
STS-98,309
STS-54,143
13,4296
STS-65,354
STS-79,243
STS-51,236
Astro-1,215.15
Astro-2,399.54
STS-67,399.54
27,4532
Soyuz TM­33/32,236.208
Soyuz TM-11/10,189.9
STS-56,222
STS-59,269.82
STS-76,221.67
STS-108,283
STS-66,262
Soyuz TM-12/11,189.22
STS-96,235
STS-68,270
Soyuz TM13/12,190.2
STS-70,214
STS-78,405
STS-101,236
21,4721
28,1747
25,3824
Soyuz TM-14/13,189.95
STS-72,214
STS-92,310
23,3470
STS-103,191
20,4297
26,9110
Antares,331
STS-85,284.5
STS-99,269.7
STS-115,283.1
STS-84,221
STS-122,306
STS-109,262
STS-83,95.21
STS-94,396.8
Soyuz TM-17 / Soyuz TM-16,496
STS-90,384
STS-112,259
STS-127,376
Mir EO-15,4368.45
Mir EO-21,4651.12
STS 101,236.17
16,3022
STS­106,283
32,3047
46,1477
Soyuz TM­32/31,190
STS-106,283
STS-100,283
STS-120,362
STS-114,333
STS-125,309
STS-87,376
Soyuz  3,237
STS-104,306.6
34,3710.32
38,4509.75
STS-105,285
STS-123,378
Soyuz TM-24/23,378.4
Soyuz TM-33/32,236
Soyuz TM-25/24,472.57
35,3990
STS-116,309
STS-130,330
STS-121,306
STS-133,307
STS-107,382
STS87,376
STS-117,336
Soyuz TM-27/26,496.5
STS-118,305
31,2999
43,4037
Soyuz TMA-3/2,237.03
STS-128,333
STS­96,235
Soyuz TMA­1/TM­34,260
47,4132
STS-131,362
29,3968
STS-119,307.5
STS­100,285
ЭП-1,190.13
STS-129,259
STS-124,330
STS-134,377
STS-135,306.5
Soyuz TMA-34/TM-33,237
Soyuz TMA-6/TMA-5,237
Soyuz TM-34 / Soyuz TM-33,237
50,6941
STS-132,282.5
STS­112,259
36,3990
51,3258
Soyuz TMA-1/TM-34,261
STS-126,380.5
30,4627
Shenzhou 5,21
Soyuz TMA-4/TMA-3,261
Soyuz TMA­5,237
Soyuz TMA-7,237.29
Shenzhou 6,115
Shenzhou 10,350
Soyuz TMA-8,237.28
Soyuz TMA-9,261.525
37,3990
Soyuz TMA-10,331.4
Soyuz TMA-14,307.85
39,4007.13
Soyuz TMA-11/10,261.23
52,3328.93
45,4003
44,3400
57,4887
Soyuz TMA-12 / Soyuz TMA-11,261
Shenzhou 7,68
Shenzhou 9,303.5
Shenzhou 11,774.5
Soyuz TMA-13,284.89
49,10383.25
53,4037.23
55,4722
33,3448
40,3968
Soyuz TMA-16/14,261.28
41,4013
42,4783.5
60,4302.98
61,2697.53
54,4037
48,2762
NA,4303.03
56,4721.82
Soyuz TMA-18M/16M,236.23
59,4863.75
EP-19,189
