id,name,sex,year_of_birth,nationality,military_civilian,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,Age of astronaut,mission_title,hours_mission,total_hrs_sum
1,"Gagarin, Yuri",male,1934,U.S.S.R/Russia,military,1960,1,1,pilot,1961,27,Vostok 1,1.77,1.77
2,"Titov, Gherman",male,1935,U.S.S.R/Russia,military,1960,1,1,pilot,1961,26,Vostok 2,25,25.3
3,"Glenn, John H., Jr.",male,1921,U.S.,military,1959,1,2,pilot,1962,41,MA-6,5,218
4,"Glenn, John H., Jr.",male,1921,U.S.,military,1959,2,2,PSP,1998,77,STS-95,213,218
5,"Carpenter, M. Scott",male,1925,U.S.,military,1959,1,1,Pilot,1962,37,Mercury-Atlas 7,5,5
6,"Nikolayev, Andriyan",male,1929,U.S.S.R/Russia,military,1960,1,2,pilot,1962,33,Vostok 3,94,519.33
7,"Nikolayev, Andriyan",male,1929,U.S.S.R/Russia,military,1960,2,2,pilot,1970,41,Soyuz 9,424,519.33
8,"Popovich, Pavel",male,1930,U.S.S.R/Russia,military,1960,1,2,pilot,1962,32,Vostok 4,70.93,448.45
9,"Popovich, Pavel",male,1930,U.S.S.R/Russia,military,1960,2,2,commander,1974,44,Soyuz 14,377,448.45
10,"Schirra, Walter M., Jr.",male,1923,U.S.,military,1959,1,3,pilot,1962,39,Mercury-Atlas 8,9.22,295.2
11,"Schirra, Walter M., Jr.",male,1923,U.S.,military,1959,2,3,commander,1965,42,Gemini 6A,25.87,295.2
12,"Schirra, Walter M., Jr.",male,1923,U.S.,military,1959,3,3,commander,1968,45,Apollo 7,260.13,295.2
13,"Cooper, L. Gordon, Jr.",male,1927,U.S.,military,1959,1,2,pilot,1963,36,Mercury-Atlas 9,34.32,225
14,"Cooper, L. Gordon, Jr.",male,1927,U.S.,military,1959,2,2,commander,1965,38,Gemini 5,191.92,225
15,"Bykovsky, Valery",male,1934,U.S.S.R/Russia,military,1960,1,3,pilot,1963,29,Vostok 5,119.13,497.8
16,"Bykovsky, Valery",male,1934,U.S.S.R/Russia,military,1960,2,3,commander,1976,42,Soyuz 22,189,497.8
17,"Bykovsky, Valery",male,1934,U.S.S.R/Russia,military,1960,3,3,commander,1978,44,Soyuz 31/29,188,497.8
18,"Tereshkova, Valentina",female,1937,U.S.S.R/Russia,military,1962,1,1,pilot,1963,26,Vostok 6,70.83,70.83
