Name,Sex,Military/Civilian
"Gagarin, Yuri",male,military
"Titov, Gherman",male,military
"Glenn, John H., Jr.",male,military
"Carpenter, M. Scott",male,military
"Nikolayev, Andriyan",male,military
"Popovich, Pavel",male,military
"Schirra, Walter M., Jr.",male,military
"Cooper, L. Gordon, Jr.",male,military
"Bykovsky, Valery",male,military
"Tereshkova, Valentina",female,military
"Komarov, Vladimir",male,military
"Feoktistov, Konstantin",male,civilian
"Yegorov, Boris",male,civilian
"Belyayev, Pavel",male,military
"Leonov, Aleksei",male,military
"Grissom, Virgil I.",male,military
"Young, John W.",male,military
"McDivitt, James A.",male,military
"White, Edward H., II",male,military
"Conrad, Charles, Jr.",male,military
"Borman, Frank",male,military
"Lovell, James A., Jr.",male,military
"Stafford, Thomas P.",male,military
"Armstrong, Neil A.",male,civilian
"Scott, David R.",male,military
"Cernan, Eugene A.",male,military
"Collins, Michael",male,civilian
"Gordon, Richard F., Jr.",male,military
"Aldrin, Edwin Eugene, Jr.",male,military
"Eisele, Donn F.",male,military
"Cunningham, Ronnie Walter",male,civilian
"Savinykh, Viktor",male,civilian
Jugderdemidiin Gurragchaa,male,civilian
"Crippen, Robert L.",male,military
Dumitru Prunariu,male,civilian
"Engle, Joe H.",male,military
"Truly, Richard H.",male,military
"Fullerton, Charles G.",male,military
"Berezovoy, Anatoly",male,military
"Chrétien, Jean-Loup",male,military
"Hartsfield, Henry W., Jr.",male,military
"Serebrov, Aleksandr",male,civilian
"Beregovoi, Georgi",male,military
"Anders, William Alison",male,civilian
"Shatalov, Vladimir",male,military
"Volynov, Boris",male,military
"Yeliseyev, Aleksei",male,civilian
"Khrunov, Yevgeny",male,military
"Schweickart, Russell L.",male,civilian
"Shonin, Georgi",male,military
"Kubasov, Valeri",male,military
"Filipchenko, Anatoly",male,military
"Volkov, Vladislav",male,military
"Gorbatko, Viktor",male,military
"Bean, Alan Lavern",male,military
"Swigert, John L., Jr.",male,civilian
"Haise, Fred W., Jr.",male,civilian
"Sevastyanov, Vitali",male,civilian
"Shepard, Alan B., Jr.",male,military
"Roosa, Stuart A.",male,military
"Mitchell, Edgar D.",male,military
"Rukavishnikov, Nikolai",male,military
"Dobrovolski, Georgi",male,military
"Patsayev, Viktor",male,civilian
"Worden, Alfred M.",male,military
"Irwin, James B.",male,military
"Mattingly, Thomas K., II",male,military
"Duke, Jr. Charles Moss",male,military
"Evans, Ronald E.",male,military
"Schmitt, Harrison H.",male,civilian
"Weitz, Paul J.",male,military
"Kerwin, Joseph P.",male,military
